Company Name,Latitude,Longitude,Address,City,State,Country,Industry,Revenue,Website,Phone,Email,Potential,Company Type,Product Category,Product Name,Employee,Employee Details
Vepar,21.1834557,72.8304312,"Ring Road, Surat, Gujarat, India",Surat,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"26390.2, 13195.1",Trader,"""woven""","""Fabric trading""",,
"Raymonds, Udvada",20.5997463,72.9565484,"N.H. No. 8, Khadki, Udvada / Valsad, Gujarat, India",Udvada / Valsad,Gujarat,India,Textile,,http://www.raymond.com,-2410169,Not Available,"294000.0, 180000.0",Manufacturer,"""woven""","""Worsted suiting fabrics (West India)""",,
Valient Glass,18.9487455,72.8288949,"Kalbadevi Road, Mumbai, Maharashtra, India",Mumbai,Maharashtra,India,Textile,,http://www.valiantglass.com,-22001042,Not Available,"288000.0, 191000.0",Manufacturer,"""woven""","""Bed sheets, cotton fabrics (Valiant Glass Works Ltd - Textile Division)""",,
Sunny International Ltd,28.6051563,77.3533677,"Sector 57, Noida, Uttar Pradesh, India",Noida,Uttar Pradesh,India,Textile,,Not Available,Not Available,Not Available,"156000.0, 164000.0",Exporter,"""woven""","""Fashion apparel""",,
Shri Jagdamba Textiles,31.6339793,74.8722642,"Amritsar, Amritsar, Punjab, India",Amritsar,Punjab,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 160000.0",Manufacturer,"""woven""","""Woolen fabrics, shawls""",,
Shri Lakshmi Cotsyn,26.449923,80.3318736,"Malwan, Fatehpur, Kanpur, Uttar Pradesh, India",Kanpur,Uttar Pradesh,India,Textile,,Not Available,-2304865,Not Available,"144000.0, 148000.0",Manufacturer,"""woven""","""Bed linen, denim, terry towels (Note: Insolvency status)""",,
Samtex Desinz,28.5413965,77.3970354,"Noida Special Economic Zone, Noida, Uttar Pradesh, India",Noida,Uttar Pradesh,India,Textile,,http://www.samtexfashions.com,-2561140,info@samtex.com,"282000.0, 176000.0",Exporter,"""woven""","""Men's and women's apparel (Samtex Fashions)""",,
Partap Denim,30.876082,75.819765,"90-91, Sector 25, Phase-II, Panipat / Ludhiana, Haryana / Punjab, India",Panipat / Ludhiana,Haryana / Punjab,India,Textile,,http://www.partapgroup.com,-2670089,info@partapgroup.com,"294000.0, 182000.0",Manufacturer,"""woven""","""Denim fabrics (Partap Group)""",,
Kadiri Wovens,14.6184836,77.6363222,"Kadiri Road, Anantapur / Tirupur, Andhra Pradesh / TN, India",Anantapur / Tirupur,Andhra Pradesh / TN,India,Textile,,http://www.kadiriwovens.com,-229514,info@kadiriwovens.com,"276000.0, 174000.0",Manufacturer,"""woven""","""Bed linen, home furnishings""",,
Jayabalaji Dyeing ,11.05276,77.3585676,"Veerapandi, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"224316.7, 224316.7",Service Provider,"""woven""","""Fabric dyeing""",,
Jayasree Textile Processorrs ,11.3790235,77.8949435,"Tiruchengode, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"65975.5, 65975.5",Service Provider,"""woven""","""Textile processing""",,
"Jayavel Dyeing, ",11.3669692,77.76042,"Pallipalayam, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"65975.5, 65975.5",Service Provider,"""woven""","""Yarn dyeing""",,
Laxmi Dyeing ,11.3669692,77.76042,"Pallipalayam, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"65975.5, 65975.5",Service Provider,"""woven""","""Textile dyeing""",,
Madhura Dyeing ,11.3669692,77.76042,"Pallipalayam, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"52780.4, 52780.4",Service Provider,"""woven""","""Textile dyeing""",,
Maruthi Process ,11.3673592,77.7076747,"Bhavani Road, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"52780.4, 52780.4",Service Provider,"""woven""","""Textile processing""",,
R.K.Exports,11.0928263,77.3353728,"Karuvampalayam, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,http://www.rkexports.com,-2232552,info@rkexports.com,"65975.5, 65975.5",Exporter,"""woven""","""Knitted ""Garment""""",,
"Shivam Devansh,Ballabhgarg",28.326328,77.3056076,"Plot No. 55, Sector 25, Ballabgarh, Ballabgarh, Haryana, India",Ballabgarh,Haryana,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 158000.0",Service Provider,"""woven""","""Textile processing, dyeing""",,
"SPL Prints,Faridabad",28.3620815,77.3202746,"Plot No. 21, Sector 6, Faridabad, Faridabad, Haryana, India",Faridabad,Haryana,India,Textile,,https://www.splindustries.com,-2240449,admin@splindustries.com,"282000.0, 176000.0",Service Provider,"""woven""","""Fabric printing services (Unit of SPL Industries)""",,
"Creative Prints,Faridabad",28.3508924,77.3053926,"Plot No. 222, Sector 24, Faridabad, Haryana, India",Faridabad,Haryana,India,Textile,,Not Available,Not Available,Not Available,"156000.0, 164000.0",Service Provider,"""woven""","""Textile printing, screen printing""",,
Dharani Fab Link ,11.3235643,77.7460413,"Karur Bypass Road, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 162000.0",Trader,"""woven""","""Fabric trading""",,
Malwa Industies,30.8960287,75.8737288,"Industrial Area A, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,http://www.malwagroup.com,-2224514,info@malwagroup.com,"288000.0, 182000.0",Manufacturer,"""woven""","""Denim fabrics, cotton yarn (Malwa Group)""",,
Mahadev Fabrics,30.9235264,75.868908,"Sunder Nagar, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 168000.0",Manufacturer,"""woven""","""Knitted fabrics""",,
HANDFAB HOME INDIA,29.3528811,76.9844677,"Sector 29, HUDA, Panipat, Haryana, India",Panipat,Haryana,India,Textile,,http://www.handfab.in,-2660311,sales@handfab.in,"282000.0, 176000.0",Manufacturer,"""woven""","""Home furnishings, floor coverings""",,
Jagdamba Knits,30.9186189,75.8588421,"Wait Ganj, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 168000.0",Manufacturer,"""woven""","""Knitwear, hosiery""",,
"Svarntex Prints,Kosi",27.7905048,77.4400297,"Kosi Kalan, Mathura, Kosi Kalan, Uttar Pradesh, India",Kosi Kalan,Uttar Pradesh,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 156000.0",Service Provider,"""woven""","""Fabric printing, textile processing""",,
"RMP Processors,Ballabhgarg",28.3638363,77.3009445,"Plot No. 18, Sector 24, Faridabad, Ballabgarh, Haryana, India",Ballabgarh,Haryana,India,Textile,,Not Available,-4066815,Not Available,"156000.0, 164000.0",Service Provider,"""woven""","""Fabric dyeing, textile finishing""",,
"Haryana Tex Prints,faridabad",28.3403289,77.3052377,"Plot No. 14, Sector 25, Faridabad, Faridabad, Haryana, India",Faridabad,Haryana,India,Textile,,https://haryanatexprints.com,-4061272,info@haryanatexprints.com,"282000.0, 176000.0",Service Provider,"""woven""","""Fabric printing, rotary printing, ""Garment"" processing""",,
Sree Surya Textile Processors (Bhavani) ,11.3673592,77.7076747,"Bhavani Main Road, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,-234276,Not Available,"26390.2, 26390.2",Service Provider,"""woven""","""Textile processing""",,
Sri Vidya Mills ,11.3654266,77.6977674,"Sathy Road, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"65975.5, 65975.5",Manufacturer,"""woven""","""Cotton fabrics""",,
Royaal Textiles Mills ,10.4491875,77.5185037,"Dindigul Road, Dindigul / Karur, Tamil Nadu, India",Dindigul / Karur,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"105560.8, 105560.8",Manufacturer,"""woven""","""Spinning, weaving""",,
S.P.M. Procesing Mills ,11.4362628,77.7232172,"Komarapalayam, Erode / Namakkal, Tamil Nadu, India",Erode / Namakkal,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"65975.5, 65975.5",Service Provider,"""woven""","""Fabric processing""",,
Samurai Textile Processors ,11.2746098,77.5827007,"Perundurai, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"52780.4, 52780.4",Service Provider,"""woven""","""Textile processing""",,
Santhi Processing Unit (P) Ltd ,11.2584583,77.5532979,"Perundurai SIPCOT, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,http://www.santhiprocessing.com,-238425,info@santhiprocessing.com,"52780.4, 52780.4",Service Provider,"""woven""","""Fabric dyeing and finishing""",,
JPC,28.6209681,77.3811702,"Sector 63, Noida, Uttar Pradesh, India",Noida,Uttar Pradesh,India,Textile,,Not Available,Not Available,Not Available,"144000.0, 156000.0",Manufacturer,"""woven""","""Cotton kurtis, ladies wear""",,
Grasim Bhiwani Textiles Ltd,28.8055234,76.1265077,"Bhiwani Textile Mills, BTM Road, Bhiwani, Haryana, India",Bhiwani,Haryana,India,Textile,,http://www.grasim.com,-244134,bhiwanimills@adityabirla.com,"294000.0, 182000.0",Manufacturer,"""woven""","""Poly-viscose fabrics, synthetic blended suiting (Aditya Birla Group)""",,
V.K.Processing Mills ,11.4470564,77.6839768,"Bhavani, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"65975.5, 65975.5",Service Provider,"""woven""","""Textile processing""",,
Vaibhav Processing Mills Pvt Ltd ,11.2746098,77.5827007,"Perundurai, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,-238647,Not Available,"158341.2, 158341.2",Service Provider,"""woven""","""Fabric processing""",,
Jaya Vinayaga,11.0768662,77.3414274,"Palladam Road, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"26390.2, 26390.2",Manufacturer,"""woven""","""Knitted fabrics""",,
Unifront Textile Processors,11.1348437,77.3426353,"Perumanallur Road, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,http://www.unifront.in,-2480329,admin@unifront.in,"65975.5, 65975.5",Service Provider,"""woven""","""Dyeing and finishing""",,
CTA Apparels,28.6075627,77.3683319,"D-52, Sector 59, Noida, Uttar Pradesh, India",Noida,Uttar Pradesh,India,Textile,,http://www.ctaapparel.com,-4325584,info@ctaapparel.com,"282000.0, 176000.0",Exporter,"""woven""","""Woven and knitted ""Garment""""",,
Ramraj Cotton,11.1085242,77.3410656,"Tirupur, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,http://www.ramrajcotton.in,-2244774,enquiry@ramrajcotton.in,"294000.0, 182000.0",Manufacturer,"""woven""","""Dhotis, shirts, ethnic wear""",,
Sree Suryodhaya Processors,11.3410364,77.7171642,"Erode, Erode, Tamil Nadu, India",Erode,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 162000.0",Service Provider,"""woven""","""Fabric processing""",,
BKS Textiles,10.9955767,77.2852097,"Palladam, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,http://www.bkstextiles.in,-258608,info@bkstextiles.in,"282000.0, 176000.0",Manufacturer,"""woven""","""Woven fabrics, hospitality linens""",,
Naveena Prints,11.1085242,77.3410656,"Tirupur, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 174000.0",Service Provider,"""woven""","""Textile printing""",,
CTM,22.9931695,72.630542,"CTM Cross Road, Amraiwadi, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,https://www.ctm-textile.com,-25850888,info@ctm-textile.com,"461828.5, 395853.0",Service Provider,"""woven""","""Fabric processing, printing""",,
Ankur Textiles,23.0397085,72.642064,"Outside Raipur Gate, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,https://www.arvind.com,-22168988,ankur@arvind.com,"263902.0, 237511.80000000002",Manufacturer,"""woven""","""Voiles, Cotton Fabrics (Division of Arvind Ltd)""",,
Asarva,23.0483771,72.616601,"Asarva Road, Near Railway Bridge, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,http://www.asarvamills.com,-22163210,info@asarvamills.com,"131951.0, 79170.6",Manufacturer,"""woven""","""Cotton fabrics, yarn, shirting""",,
Mafatlal,19.0062481,72.8304099,"Kaledon Estate, PB Road, Worli, Mumbai, Maharashtra, India",Mumbai,Maharashtra,India,Textile,,https://www.mafatlals.com,-67713731,marketing@mafatlals.com,"395853.0, 329877.5",Manufacturer,"""woven""","""School uniforms, suiting, shirting, denim""",,
Mukesh,23.0974358,72.5314579,"Narol-Sarkhej Highway, Narol, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,https://www.mukeshindustries.com,-25730288,info@mukeshindustries.com,"395853.0, 263902.0",Service Provider,"""woven""","""Fabric dyeing, printing, finishing""",,
Prem Processors,22.9921815,72.5705126,"Piplaj-Pirana Road, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,-25711222,Not Available,"105560.8, 65975.5",Service Provider,"""woven""","""Fabric processing, dyeing""",,
Komal,22.9921815,72.5705126,"Piplaj, Narol, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"7834965.0, 7573799.5",Service Provider,"""knit""","""Fabric dyeing, printing (Komal Texfab)""",,
Sharada Terry Products,11.3027849,76.9383385,"Mettupalayam, Coimbatore, Tamil Nadu, India",Coimbatore,Tamil Nadu,India,Textile,,http://www.microcotton.com,-227496,info@microcotton.com,"150000.0, 174000.0",Manufacturer,"""knit""","""Luxury towels, bath linens (Micro Cotton)""",,
Shiny Knitwear,11.1085242,77.3410656,"Tirupur, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,Not Available,Not Available,Not Available,"282000.0, 176000.0",Manufacturer,"""knit""","""Knitted ""Garment""""",,
Eveline Export-Ludhiana,30.9238738,75.8741137,"B-XXIV/4590, Sunder Nagar, G.T. Road, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,http://www.evelineinternational.com,-2672080,info@evelineinternational.com,"10446620.0, 0.0",Manufacturer / Exporter,"""knit""","""Readymade ""Garment"", knitwear, t-shirts""",,
Sanchi Processor-Ludhiana,30.9169645,75.8946074,"Tajpur Road, Near Central Jail, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,Not Available,Not Available,"13058275.0, 0.0",Service Provider,"""knit""","""Fabric processing, finishing""",,
Shyam Tex-Ludhiana,30.958419,75.9010721,"Village Seera, Rahon Road, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 168000.0",Manufacturer,"""knit""","""Knitted fabrics, textile trading""",,
Sunshine Dyeing-Ludhiana,30.9430991,75.8857621,"Village Bajra, Rahon Road, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 168000.0",Service Provider,"""knit""","""Textile dyeing services""",,
Gulab Dyeing-Ludhiana,30.8919655,75.8592609,"Plot No. 25, Industrial Area-A, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,-2223971,Not Available,"156000.0, 170000.0",Service Provider,"""knit""","""Dyeing and printing of textiles""",,
Suvidhi Cotcyn-Ludhiana,30.8936568,75.9014687,"E-266, Phase IV, Focal Point, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,-2675270,Not Available,"156000.0, 170000.0",Manufacturer,"""knit""","""Yarn, fabrics""",,
A 1 Cottex-Ludhiana,30.900965,75.8572758,"Village Jhammat, Malaud, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 164000.0",Manufacturer,"""knit""","""Cotton yarn, blended yarn""",,
Marvels Dyeing-Ludhiana,30.895561,75.873842,"Plot No. 898, Industrial Area-A, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,Not Available,Not Available,"156000.0, 170000.0",Service Provider,"""knit""","""Yarn dyeing, fabric processing""",,
Defiance knitting,19.1940919,73.2100247,"K-6, Additional Ambernath Industrial Area, MIDC, Ambernath, Maharashtra, India",Ambernath,Maharashtra,India,Textile,,Not Available,-2621204,defiance@bom3.vsnl.net.in,"15669930.0, 0.0",Manufacturer,"""knit""","""Knitted fabrics, hosiery cloth, bleaching & dyeing""",,
Innovative,28.6616565,77.3124395,"81 Vigyan Vihar, Delhi, Delhi, India",Delhi,Delhi,India,Textile,,https://innovativetextiles.com,-22149920,info@innovativetextile.co.in,"6267972.0, 0.0",Manufacturer,"""knit""","""Yarn, fabrics, textile products""",,
Venus Dyeing-Ludhiana,30.8923143,75.8653641,"205, Industrial Area-A, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,-2222207,Not Available,"156000.0, 170000.0",Service Provider,"""knit""","""Textile dyeing services""",,
Rainbow Dyeing-Ludhiana,30.9169645,75.8946074,"Tajpur Road, Guru Ram Dass Nagar, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,Not Available,-9872422109,Not Available,"150000.0, 168000.0",Service Provider,"""knit""","""Yarn dyeing, fabric processing""",,
Centex-Ludhiana,30.879605,75.9158386,"C-156, Phase V, Focal Point, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,https://www.centex.in,-2676071,info@centex.in,"282000.0, 176000.0",Manufacturer / Exporter,"""knit""","""Luxury scarves, stoles, shawls, fabrics""",,
Freelook Fashions,11.1243543,77.330369,"Avinashi Road, Tirupur, Tamil Nadu, India",Tirupur,Tamil Nadu,India,Textile,,http://www.freelookfashions.com,-2249218,info@freelookfashions.com,"417864.8, 417864.8",Manufacturer,"""knit""","""Men's apparel, casual wear""",,
Ashnoor Textile Mills,28.4268881,77.0080299,"Behrampur Road, Khandsa, Gurgaon, Haryana, India",Gurgaon,Haryana,India,Textile,,https://www.ashnoortex.com,-4809789,accounts@ashnoortex.com,"288000.0, 182000.0",Manufacturer,"""knit""","""Towels, terry fabrics""",,
Gogo International Pvt Ltd,11.1085242,77.3410656,"K.H. Road, Bangalore / Tirupur, Karnataka / TN, India",Bangalore / Tirupur,Karnataka / TN,India,Textile,,http://www.gogointernational.in,-22224433,info@gogointernational.in,"417864.8, 417864.8",Manufacturer,"""knit""","""Woven and knitted apparel""",,
Bir Horizon,28.5033664,77.4734461,"Plot No. 4, Udyog Vihar, Ecotech-II, Greater Noida, Uttar Pradesh, India",Greater Noida,Uttar Pradesh,India,Textile,,http://www.birhorizon.com,-2560329,info@birhorizon.com,"288000.0, 176000.0",Manufacturer,"""knit""","""Knitted ""Garment"", organic cotton apparel""",,
Eveline International,30.8770008,75.9051497,"Dhandari Kalan, G.T. Road, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Textile,,http://www.evelineinternational.com,-5034514,eveline@evelineinternational.com,"282000.0, 176000.0",Manufacturer,"""knit""","""Knitted ""Garment"", thermal wear""",,
